https://coinmarketcap.com/currencies/bitcoin/historical-data/,,,,,,
Date,Open,High,Low,Close,Volume,Market_Cap
28-Jun-17,"2,553.03","2,603.98","2,484.42","2,574.79","1,183,869,952","41,906,651,136"
27-Jun-17,"2,478.45","2,552.45","2,332.99","2,552.45","1,489,789,952","40,677,937,152"
26-Jun-17,"2,590.57","2,615.25","2,376.29","2,478.45","1,663,280,000","42,513,989,632"
25-Jun-17,"2,607.25","2,682.26","2,552.12","2,589.41","1,161,100,032","42,783,760,384"
24-Jun-17,"2,738.52","2,757.94","2,583.19","2,608.72","982,750,016","44,932,898,816"
23-Jun-17,"2,707.34","2,765.17","2,706.37","2,744.91","961,318,976","44,415,922,176"
22-Jun-17,"2,691.03","2,723.74","2,642.36","2,705.41","1,097,939,968","44,143,661,056"
21-Jun-17,"2,709.43","2,772.01","2,660.40","2,689.10","1,626,579,968","44,440,801,280"
20-Jun-17,"2,591.26","2,763.45","2,589.82","2,721.79","1,854,189,952","42,497,998,848"
19-Jun-17,"2,549.03","2,662.85","2,549.03","2,589.60","1,446,840,064","41,800,601,600"
18-Jun-17,"2,655.35","2,662.10","2,516.33","2,548.29","1,178,659,968","43,539,300,352"
17-Jun-17,"2,514.01","2,685.19","2,484.96","2,655.88","1,534,509,952","41,217,200,128"
16-Jun-17,"2,469.57","2,539.92","2,385.15","2,518.56","1,195,190,016","40,484,098,048"
15-Jun-17,"2,499.58","2,534.71","2,212.96","2,464.58","2,026,259,968","40,971,300,864"
14-Jun-17,"2,716.88","2,786.83","2,412.94","2,506.37","1,696,560,000","44,528,300,032"
13-Jun-17,"2,680.91","2,789.04","2,650.38","2,717.02","1,781,200,000","43,934,101,504"
12-Jun-17,"2,953.22","2,997.26","2,518.56","2,659.63","2,569,530,112","48,391,200,768"
11-Jun-17,"2,942.41","2,996.60","2,840.53","2,958.11","1,752,400,000","48,208,699,392"
10-Jun-17,"2,828.14","2,950.99","2,746.55","2,947.71","2,018,889,984","46,331,400,192"
9-Jun-17,"2,807.44","2,901.71","2,795.62","2,823.81","1,348,950,016","45,987,098,624"
8-Jun-17,"2,720.49","2,815.30","2,670.95","2,805.62","1,281,170,048","44,557,099,008"
7-Jun-17,"2,869.38","2,869.38","2,700.56","2,732.16","1,517,709,952","46,989,799,424"
6-Jun-17,"2,690.84","2,999.91","2,690.84","2,863.20","2,089,609,984","44,060,999,680"
5-Jun-17,"2,512.40","2,686.81","2,510.22","2,686.81","1,369,309,952","41,133,899,776"
4-Jun-17,"2,547.79","2,585.89","2,452.54","2,511.81","1,355,120,000","41,708,199,936"
3-Jun-17,"2,493.72","2,581.91","2,423.57","2,515.35","1,514,950,016","40,817,098,752"
2-Jun-17,"2,404.03","2,488.55","2,373.32","2,488.55","1,317,030,016","39,344,599,040"
1-Jun-17,"2,288.33","2,448.39","2,288.33","2,407.88","1,653,180,032","37,446,201,344"
31-May-17,"2,187.19","2,311.08","2,145.57","2,286.41","1,544,829,952","35,786,698,752"
30-May-17,"2,255.36","2,301.96","2,124.57","2,175.47","1,443,970,048","36,897,001,472"
29-May-17,"2,159.43","2,307.05","2,107.17","2,255.61","994,625,024","35,323,498,496"
28-May-17,"2,054.08","2,267.34","2,054.08","2,155.80","1,147,139,968","33,595,899,904"
27-May-17,"2,196.27","2,260.20","1,855.83","2,038.87","1,700,480,000","35,917,099,008"
26-May-17,"2,320.89","2,573.79","2,071.99","2,202.42","1,763,480,064","37,950,599,168"
25-May-17,"2,446.24","2,763.71","2,285.30","2,304.98","2,406,700,032","39,995,400,192"
24-May-17,"2,321.37","2,523.72","2,321.37","2,443.64","1,725,379,968","37,949,198,336"
23-May-17,"2,191.56","2,320.82","2,178.50","2,320.42","1,378,749,952","35,822,600,192"
22-May-17,"2,043.19","2,303.90","2,017.87","2,173.40","1,942,220,032","33,393,600,512"
21-May-17,"2,067.03","2,119.08","2,037.50","2,041.20","1,147,859,968","33,779,400,704"
20-May-17,"1,984.24","2,084.73","1,974.92","2,084.73","961,336,000","32,422,400,000"
19-May-17,"1,897.37","2,004.52","1,890.25","1,987.71","1,157,289,984","30,998,999,040"
18-May-17,"1,818.70","1,904.48","1,807.12","1,888.65","894,321,024","29,710,499,840"
17-May-17,"1,726.73","1,864.05","1,661.91","1,839.09","1,064,729,984","28,204,800,000"
16-May-17,"1,741.70","1,785.94","1,686.54","1,734.45","959,044,992","28,446,300,160"
15-May-17,"1,808.44","1,812.80","1,708.54","1,738.43","731,529,024","29,532,600,320"
14-May-17,"1,800.86","1,831.42","1,776.62","1,808.91","437,196,000","29,405,100,032"
13-May-17,"1,723.12","1,812.99","1,651.08","1,804.91","579,635,008","28,132,300,800"
12-May-17,"1,845.76","1,856.15","1,694.01","1,724.24","740,984,000","30,131,099,648"
11-May-17,"1,780.37","1,873.93","1,755.35","1,848.57","799,489,984","29,060,599,808"
10-May-17,"1,756.52","1,788.44","1,719.10","1,787.13","915,723,008","28,668,100,608"
9-May-17,"1,723.89","1,833.49","1,716.30","1,755.36","1,167,920,000","28,132,200,448"
8-May-17,"1,596.92","1,723.35","1,596.92","1,723.35","1,340,320,000","26,056,499,200"
7-May-17,"1,579.47","1,596.72","1,559.76","1,596.71","1,080,029,952","25,768,499,200"
6-May-17,"1,556.81","1,578.80","1,542.50","1,578.80","582,529,984","25,395,599,360"
5-May-17,"1,540.87","1,618.03","1,530.31","1,555.45","946,035,968","25,133,099,008"
4-May-17,"1,490.72","1,608.91","1,490.72","1,537.67","933,548,992","24,311,900,160"
3-May-17,"1,453.78","1,492.77","1,447.49","1,490.09","583,795,968","23,707,099,136"
2-May-17,"1,421.03","1,473.90","1,415.69","1,452.82","477,337,984","23,170,199,552"
1-May-17,"1,348.30","1,434.32","1,348.30","1,421.60","713,624,000","21,981,800,448"
30-Apr-17,"1,321.87","1,347.91","1,314.92","1,347.89","413,115,008","21,548,400,640"
29-Apr-17,"1,317.84","1,327.20","1,315.21","1,321.79","422,705,984","21,479,800,832"
28-Apr-17,"1,317.74","1,331.28","1,292.37","1,316.48","527,488,992","21,475,999,744"
27-Apr-17,"1,281.88","1,319.70","1,281.30","1,317.73","449,196,992","20,889,200,640"
26-Apr-17,"1,265.99","1,294.83","1,265.93","1,281.08","329,631,008","20,627,900,416"
25-Apr-17,"1,250.45","1,267.58","1,249.97","1,265.49","242,556,000","20,372,299,776"
24-Apr-17,"1,209.63","1,250.94","1,209.63","1,250.15","235,806,000","19,705,399,296"
23-Apr-17,"1,231.92","1,232.20","1,203.94","1,207.21","258,951,008","20,066,199,552"
22-Apr-17,"1,222.71","1,235.56","1,208.47","1,231.71","249,320,000","19,913,900,032"
21-Apr-17,"1,229.42","1,235.94","1,215.56","1,222.05","272,167,008","20,020,699,136"
20-Apr-17,"1,211.08","1,240.79","1,208.41","1,229.08","315,108,000","19,719,899,136"
19-Apr-17,"1,212.13","1,215.51","1,205.08","1,210.29","288,060,992","19,734,800,384"
18-Apr-17,"1,193.77","1,217.57","1,193.77","1,211.67","270,524,000","19,433,799,680"
17-Apr-17,"1,183.25","1,194.90","1,172.65","1,193.91","253,206,000","19,260,499,968"
16-Apr-17,"1,172.61","1,187.22","1,172.61","1,182.94","183,231,008","19,085,099,008"
15-Apr-17,"1,167.30","1,188.00","1,164.96","1,172.52","203,559,008","18,996,500,480"
14-Apr-17,"1,170.33","1,190.80","1,159.79","1,167.54","254,827,008","19,043,799,040"
13-Apr-17,"1,201.02","1,205.89","1,156.44","1,169.28","351,968,992","19,541,299,200"
12-Apr-17,"1,204.81","1,207.14","1,196.76","1,200.37","288,702,016","19,600,799,744"
11-Apr-17,"1,187.46","1,208.07","1,187.46","1,205.01","216,182,000","19,316,000,768"
10-Apr-17,"1,187.30","1,190.34","1,179.04","1,187.13","215,883,008","19,311,200,256"
9-Apr-17,"1,176.57","1,197.21","1,171.86","1,187.87","242,343,008","19,134,400,512"
8-Apr-17,"1,172.65","1,184.98","1,162.58","1,175.95","209,312,000","19,068,600,320"
7-Apr-17,"1,178.94","1,186.58","1,163.39","1,176.90","317,022,016","19,168,499,712"
6-Apr-17,"1,125.81","1,188.37","1,125.81","1,182.68","511,222,016","18,302,599,168"
5-Apr-17,"1,134.14","1,135.09","1,113.63","1,124.78","414,784,000","18,435,700,736"
4-Apr-17,"1,145.52","1,156.44","1,120.52","1,133.25","436,310,016","18,619,000,832"
